"","SurveyNum","Time","Spp","Size","ID","lat","long"
"564",23,"12:58","PRBI","13","122",9.842880105135,123.568275331
"636",25,"10:30","APCL","7","124",9.6349017857575,123.48470396375
"638",25,"11:31","APCL","8","132",9.636083592195,123.48509020175
"639",25,"11:34","APCL","7","133",9.6360810357125,123.4850745485
"642",25,"11:44","PRBI","10","137",9.6361473994325,123.48513885875
"643",25,"11:58","APCL","6","140",9.6363718248875,123.48528717625
"657",25,"10:57","APCL","6","128",9.635942922905,123.48508018525
"658",25,"10:58","APCL","5","126",9.6359816263425,123.4850874145
"659",25,"11:24","APCL","10","131",9.6359746903175,123.48508957325
"661",25,"11:44","APCL","8","139",9.6361473994325,123.48513885875
"667",25,"12:04","APCL","8","141",9.63656054344,123.485358192
"668",26,"14:26","APCL","11","144",9.6367651247425,123.485416635
"687",26,"14:15","APCL","6","142",9.636718898545,123.48542250225
"758",26,"16:05","PRBI","12","146",9.642177654895,123.48777350025
"830",27,"17:36","PRBI","10","147",9.6480470406825,123.4900545305
"852",28,"10:04","PRBI","12","152",9.61030618055,123.47457782825
"861",28,"08:56","PRBI","8","149",9.607030113695,123.473696555
"879",28,"09:43","PRBI","9","150",9.60944688879,123.47434518875
"903",29,"11:53","PRBI","8","156",9.601981882005,123.47749007875
"909",29,"12:28","PRBI","11","158",9.6026397147225,123.4758351135
"930",29,"11:39","PRBI","10","154",9.601762632375,123.47766184475
"942",29,"12:03","PRBI","7","157",9.60202779388,123.4771979695
"1046",31,"11:05","APCL","4","162",10.22717812795,123.8195234235
"1047",31,"11:34","APCL","5","163",10.2274436038,123.81993155925
"1048",31,"11:44","APCL","6","165",10.2275549993,123.8199217105
"1049",31,"11:55","PRBI","6","167",10.227837972325,123.819852937
"1050",31,"10:26","PRBI","5","160",10.227573229925,123.817236903
"1053",31,"11:40","PRBI","3","164",10.22754135775,123.8199307
"1062",32,"13:54","PRBI","12","168",10.22062163565,123.7915877975
"1072",32,"14:21","PRBI","8","170",10.2206275449,123.7903635575
"1074",33,"15:34","APCL","7","171",10.222767842925,123.78396162775
"1075",33,"15:37","APCL","9","172",10.2227961109,123.78398497125
"1076",33,"16:20","PRBI","9","174",10.22208442445,123.78329065625
"1077",33,"16:39","APCL","8","176",10.2224811609,123.7825489415
"1079",33,"15:44","PRBI","6","181",10.2226633206,123.78395003975
"1088",33,"17:03","PRBI","10","178",10.2236593631,123.78314919075
"1090",34,"10:54","APCL","10","182",10.227755745875,123.8172531325
"1091",34,"11:10","PRBI","13","183",10.2279401582375,123.81707519525
"1096",34,"10:28","PRBI","6","179",10.2281617443125,123.817393707625
"1097",34,"10:34","PRBI","5","180",10.2281010698,123.81744733075
"1098",35,"12:55","PRBI","11","185",10.225748594375,123.8050192735
"1099",35,"13:23","APCL","8","187",10.225065427375,123.804846218375
"1100",35,"13:27","APCL","8","190",10.2250892215125,123.804789494125
"1101",35,"13:28","PRBI","11","188",10.2251153206375,123.8047686965
"1102",35,"13:51","APCL","8","194",10.225232604425,123.80460480925
"1106",36,"15:42","APCL","9","196",10.2268644981125,123.796120867125
"1109",36,"16:25","APCL","9","197",10.226463528825,123.796554976
"1111",37,"11:01","APCL","9","199",10.0584194879,123.63855344025
"1113",37,"11:47","APCL","10","206",10.0585915055,123.6386880535
"1114",37,"11:57","APCL","6","208",10.05913155155,123.638591473
"1117",37,"11:11","APCL","7","202",10.058378605175,123.63857567325
"1121",38,"13:28","PRBI","8","210",NA,NA
"1126",38,"13:21","PRBI","7","209",NA,NA
"1127",38,"13:37","APCL","8","212",NA,NA
"1128",38,"13:44","PRBI","10","213",NA,NA
"1130",38,"13:57","PRBI","5","215",NA,NA
"1135",39,"16:00","APCL","10","219",10.0518198707,123.635242358
"1138",39,"15:34","APCL","10","217",10.051013741175,123.63504628425
"1139",39,"16:09","APCL","8","220",10.05208140705,123.6355666115
"1147",40,"09:10","APCL","6","222",10.076023642925,123.6593171745
"1150",40,"09:36","PRBI","9","226",10.0768311764,123.659764202
"1152",40,"09:48","PRBI","12","228",10.07692865795,123.65980384875
"1153",40,"10:09","PRBI","10","230",10.0771365082,123.660232583
"1161",40,"09:05","APCL","9","221",10.0759676099,123.6593001175
"1163",40,"09:23","APCL","9","225",10.076465327275,123.65947666125
"1170",40,"10:17","PRBI","10","231",10.077177663325,123.660270134
"1176",41,"11:05","PRBI","12","233",10.077325855375,123.6613898305
"1180",41,"11:43","PRBI","9","236",10.077233402975,123.66238937225
"1181",41,"11:52","PRBI","8","237",10.0773131987,123.66262102725
"1189",41,"11:33","PRBI","5","234",10.07728099125,123.662254193
"1191",41,"11:55","PRBI","5","238",10.077351965,123.662657363
"1192",42,"13:50","APCL","9","243",10.555924354125,124.04088801925
"1195",42,"14:04","APCL","6","244",10.557067981,124.04087230325
"1197",42,"14:12","APCL","10","245",10.5571248941,124.040770023
"1198",42,"14:27","APCL","8","246",10.558254984225,124.040515339
"1201",42,"14:54","APCL","8","250",10.559785813075,124.0405327105
"1202",42,"13:37","APCL","6","240",10.555655735075,124.040617577
"1208",42,"14:41","APCL","9","249",10.559055539775,124.0405114625
"1212",43,"15:35","APCL","8","253",10.561546599475,124.04024410075
"1216",43,"15:59","APCL","9","257",10.56260774845,124.040355999
"1218",43,"16:08","APCL","7","258",10.563236915025,124.0404562885
"1229",43,"15:49","APCL","9","254",10.56245689515,124.040417166
"1294",45,"11:06","PRBI","11","260",10.48735179475,124.0284745465
"1301",45,"11:27","PRBI","10","262",10.4882002529,124.02870771
"1315",49,"11:04","APCL","6","264",10.173176773825,124.74944574975
"1316",49,"11:42","APCL","8","275",10.17321172635,124.74969486025
"1317",49,"11:13","APCL","8","267",10.173133208875,124.74953482875
"1318",49,"11:20","APCL","9","269",10.173175914675,124.74964871775
"1319",50,"13:42","APCL","10","280",10.17251428915,124.7510570455
"1320",50,"13:47","APCL","4","281",10.17248424005,124.75104836975
"1321",50,"14:11","APCL","12","285",10.17142981755,124.75099950325
"1335",50,"13:34","APCL","9","279",10.17266262785,124.7508511645
"1338",50,"13:49","APCL","8","282",10.172489499675,124.751091411
"1418",55,"13:11","APCL","9","288",10.0074805878,125.029367453
"1419",55,"13:19","APCL","7","286",10.0074242195,125.02934381575
"1420",55,"13:42","APCL","7","290",10.007431721325,125.02937665225
"1421",55,"13:45","APCL","9","289",10.007452697025,125.0293585475
"1422",55,"13:49","APCL","6","292",10.00743142795,125.0293255015
"1423",55,"13:56","APCL","7","293",10.007327639025,125.02931980175
"1424",55,"14:00","APCL","6","295",10.007251740925,125.0293402535
"1425",55,"14:11","APCL","8","298",10.007211864,125.0294417165
"1426",55,"14:14","APCL","8","299",10.007261107675,125.0294426595
"1427",55,"14:24","APCL","8","300",10.007234222725,125.0294126315
"1428",55,"14:35","APCL","8","301",10.00740200745,125.02933291975
"1429",55,"14:46","APCL","5","303",10.0075762044,125.02930507075
"1430",55,"15:09","APCL","6","304",10.0075732078,125.0293926615
"1577",57,"13:02","APCL","8","306",9.962226944045,125.2236915685
"1579",57,"13:17","APCL","11","309",9.9622600106525,125.2237803325
"1580",57,"13:20","APCL","8","317",9.9622289766575,125.22371095125
"1581",57,"13:29","APCL","9","312",9.96226757532,125.223788547
"1582",57,"13:40","APCL","10","319",9.9621665733875,125.2236539755
"1586",57,"14:02","APCL","8","321",9.9624282354475,125.22386113425
"1587",57,"14:09","APCL","8","322",9.962527623865,125.224002809
"1604",58,"09:27","PRBI","10","323",10.0174151128,125.024735362
"1608",58,"09:59","PRBI","10","325",10.01698503735,125.02493591975
"1615",58,"10:50","PRBI","12","326",10.01698824345,125.02474690775
"1628",58,"11:05","PRBI","6","328",10.017052448825,125.02479422375
"1639",58,"11:22","PRBI","8","330",10.017078013625,125.02479424475
"1640",58,"11:28","PRBI","12","331",10.016768344225,125.02497996675
"1641",58,"11:40","PRBI","13","332",10.016255769875,125.025277629
"1642",58,"11:51","PRBI","9","333",10.01619028625,125.0253224095
"1644",58,"13:17","PRBI","3","334",10.01616467955,125.025341415
"1645",58,"13:23","PRBI","4","335",10.01611933345,125.0253676715
"1647",58,"13:57","PRBI","12","337",10.016189846225,125.02522320975
"1648",58,"13:58","PRBI","8","338",10.016217736975,125.0252511215
"1651",58,"14:26","PRBI","7","339",10.015937970025,125.025292423
"1652",58,"15:08","PRBI","8","341",10.01549085835,125.02548409625
"1653",58,"15:12","PRBI","11","342",10.015609860425,125.0255465415
"2062",60,"08:58","APCL","10","343",10.53992839295,124.63871605225
"2065",60,"09:06","APCL","11","344",10.540316747525,124.63826053775
"2066",60,"09:07","APCL","11","346",10.540379590825,124.63823415575
"2068",60,"09:32","APCL","8","348",10.54036609595,124.637842197
"2069",60,"09:37","APCL","8","350",10.540352643,124.63783327
"2070",60,"09:38","APCL","12","354",10.540441407375,124.6377667805
"2074",60,"09:55","APCL","7","353",10.54046156585,124.63778209875
"2076",60,"10:15","APCL","8","358",10.5402268516,124.63802029175
"2079",60,"10:38","APCL","9","359",10.539318651425,124.6395727875
"2082",60,"10:47","APCL","7","361",10.5392062501,124.639486894
"2083",60,"11:01","APCL","4","362",10.538748493425,124.64033271175
"2085",61,"11:44","PRBI","14","363",10.547253442925,124.656057728
"2130",63,"16:04","APCL","12","365",10.530924175375,124.75191080475
"2132",63,"16:10","APCL","8","367",10.530957954475,124.7520642565
"2133",63,"16:18","APCL","9","370",10.530852824425,124.7521499405
"2135",63,"16:49","APCL","12","373",10.533082578325,124.75278044825
"2137",63,"16:59","APCL","8","375",10.5332304351,124.7529469545
"2138",63,"17:00","APCL","11","377",10.5332284444,124.75297151375
"2142",64,"09:29","APCL","9","379",10.855307327575,124.7269424145
"2144",64,"09:34","APCL","7","380",10.855199787775,124.72678640625
"2154",64,"09:42","APCL","9","381",10.85566542345,124.726898284
"2156",64,"09:52","APCL","10","382",10.855983558575,124.7263675415
"2160",66,"11:44","APCL","7","385",10.872897757225,124.71181473475
"2163",66,"11:50","APCL","6","386",10.872827475,124.711704366
"2165",66,"12:07","APCL","5","387",10.873629644025,124.71170004925
"2167",66,"12:24","APCL","6","389",10.87352927075,124.71214225775
"2168",66,"12:30","APCL","11","390",10.87337956995,124.71217762925
"2173",66,"12:38","APCL","6","392",10.873278547075,124.712143787
"2175",66,"12:41","APCL","5","393",10.873126604125,124.71215332175
"2178",66,"12:57","APCL","10","394",10.8729150868,124.71211876725
"2180",66,"12:57","APCL","5","396",10.8729150868,124.71211876725
"2187",66,"13:14","APCL","11","398",10.873114869475,124.71226230725
"2188",66,"13:17","APCL","11","397",10.8730417583,124.7122084535
"2228",68,"09:54","APCL","9","399",10.641315893725,124.77868851275
"2231",68,"10:05","APCL","6","400",10.6416403991,124.778118187
"2233",68,"10:08","APCL","4","401",10.64176369695,124.777881105
"2237",69,"10:35","APCL","12","402",10.743416044875,124.7866796725
"2239",69,"10:42","APCL","3","404",10.743637222325,124.786482593
"2240",69,"10:49","APCL","12","406",10.743745809875,124.78642712575
"2241",69,"10:49","APCL","8","405",10.743745809875,124.78642712575
"2242",69,"11:02","APCL","9","410",10.743781894,124.7863166105
"2243",69,"11:05","APCL","13","411",10.7438832731,124.786300496
"2245",69,"11:21","APCL","10","414",10.7446318609,124.7861359595
"2246",69,"11:21","APCL","10","416",10.7446318609,124.7861359595
"2247",69,"11:33","APCL","9","418",10.744772572075,124.78600402825
"2253",73,"11:26","APCL","12","419",11.0413693171,124.36874511425
"2254",73,"11:33","APCL","9","421",11.0414449009,124.36890210725
"2255",73,"11:38","APCL","10","423",11.041612790425,124.36902069025
"2256",73,"11:43","APCL","11","425",11.041674125,124.369143485
"2261",73,"11:53","APCL","11","427",11.0421584314,124.36890122725
"2267",73,"12:20","APCL","9","428",11.0426901374,124.3674749205
"2269",73,"12:26","APCL","6","430",11.042873701075,124.3673150985
"2270",73,"12:28","APCL","5","431",11.04293725685,124.36736635375
"2271",73,"12:31","APCL","9","434",11.04294008575,124.3673822795
"2273",74,"13:48","APCL","11","436",11.043908069875,124.367422408
"2463",79,"09:56","APCL","5","445",10.955285097025,124.64940130225
"2465",79,"10:02","APCL","9","446",10.955278412425,124.64937022675
"2471",79,"10:15","APCL","6","448",10.95530846155,124.6493743125
"2473",79,"10:18","APCL","10","452",10.9553043754,124.649358492
"2474",79,"10:19","APCL","6","449",10.955303621,124.649328883
"2475",79,"10:20","APCL","9","451",10.955297292675,124.64930623075
"2480",79,"10:44","APCL","6","454",10.955553485575,124.64898436575
"2482",79,"10:59","APCL","4","457",10.955629635125,124.6488645465
