"","01","02","03","04","05","06","07","08","09","10","11","12"
"a","87
AFD2 e01","331
AFD2 h04","231
AFD2 g08","216
AFD2 h11",NA,NA,NA,NA,NA,NA,NA,NA
"b","329
AFD2 g01","186
AFD2 f05","150
AFD2 h08","152
AFD2 g12",NA,NA,NA,NA,NA,NA,NA,NA
"c","168
AFD2 g02","155
AFD2 h05","330
AFD2 g09","Neg control",NA,NA,NA,NA,NA,NA,NA,NA
"d","109
AFD2 h02","226
AFD2 g06","327
AFD2 h09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","79
AFD2 g03","85
AFD2 h06","99
AFD2 g10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","154
AFD2 h03","82
AFD2 g07","227
AFD2 h10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","76
AFD2 f04","121
AFD2 h07","118
AFD2 c11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"h","80
AFD2 g04","336
AFD2 f08","342
AFD2 g11",NA,NA,NA,NA,NA,NA,NA,NA,NA
